region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
DEF0:Schleswig-Holstein;Germany;DE;Schleswig-Holstein;y;178,7;1,48;8,4;-3,1;80,8;83,1;78,5;28,7;20,5;79;74,4;83,8;4,2;3,4;4,8;23,8;20,5;27,2;10,9;9,5;12,2
DEG0:Thüringen;Germany;DE;Thüringen;y;133,5;1,55;2,3;-4,2;80,6;83,6;77,6;24,2;17,2;77,4;75,1;79,6;5,8;5,8;5,8;26,4;28,7;24,3;8,5;7,7;9,3
DK01:Hovedstaden;Denmark;DK;Hovedstaden;y;687,6;1,63;7,3;3,4;80,7;82,7;78,4;43;14,8;78,2;74,9;81,5;6,7;6,9;6,5;48,5;52,8;44,2;6,8;5,1;8,6
DK02:Sjælland;Denmark;DK;Sjælland;y;113,3;1,75;6,8;-2,3;80;82;78;23,4;14,1;76;72,4;79,5;5,9;6,2;5,5;29,8;36,3;23,3;10,1;6,3;13,6
DK03:Syddanmark;Denmark;DK;Syddanmark;y;98,2;1,77;3,1;-0,4;80,8;82,7;78,9;30,7;13,7;75,4;71;79,5;6,1;6,3;5,9;30,7;36,2;25,3;7,6;6,8;8,4
DK04:Midtjylland;Denmark;DK;Midtjylland;y;98,4;1,74;2,3;1,8;81,2;83,3;79,1;30,6;13,8;76,2;71,6;80,6;5,6;6;5,2;34,6;40,7;28,7;7,9;5,9;9,9
DK05:Nordjylland;Denmark;DK;Nordjylland;y;73,8;1,73;3,3;-0,6;80,9;82,9;78,9;29,3;13,9;74,3;71;77,4;6,3;6,5;6,2;29,3;34,9;23,7;7,8;4,8;10,3
EE00:Eesti;Estonia;EE;Eesti;y;30,3;1,54;-0,5;-1,5;77,4;NA;NA;20,9;NA;76,5;72,6;80,5;6,2;6,1;6,2;38,1;47,5;28,4;11,2;9;13,2
EL30:Attiki;Greece;EL;Attiki;y;1007,7;1,26;-9,7;-0,9;81,2;83,8;78,3;27,1;13,2;54,9;47,5;62,6;25,2;27,4;23,3;37;37,1;37;5,7;4,3;7
EL41:Voreio Aigaio;Greece;EL;Voreio Aigaio;y;51,4;1,4;-0,9;-3,5;81,9;84,2;79,6;15,7;11,1;55,5;40,2;69,7;18;25,1;13,5;22,9;24,4;21,6;17,3;13,2;20,8
EL42:Notio Aigaio;Greece;EL;Notio Aigaio;y;63,1;1,39;-1,2;1,4;81,5;83,9;79,2;22;11,9;62,8;51,8;74,1;14,9;16,3;13,8;19,1;20,3;18;10,4;12,8;7,9
EL43:Kriti;Greece;EL;Kriti;y;75,7;1,44;0,1;0,9;82;84,7;79,4;17,3;9,6;56,1;46,7;65,7;24,2;28,9;20,5;24,1;25,3;22,9;10,8;8,3;13,2
EL51:Anatoliki Makedonia, Thraki;Greece;EL;Anatoliki Makedonia, Thraki;y;42,8;1,35;0,7;-3,6;80,6;83;78,2;13,7;9,6;55,4;46,2;64,3;23,4;27,7;20;22,6;22,9;22,3;17,2;12,4;21,8
EL52:Kentriki Makedonia;Greece;EL;Kentriki Makedonia;y;99,1;1,27;-2,7;-2,3;81,2;83,9;78,6;15,3;10,7;53,8;44,7;63,3;26;30,1;22,6;29,1;30,8;27,3;7,8;6,4;9,4
EL53:Dytiki Makedonia;Greece;EL;Dytiki Makedonia;y;29,3;1,33;-4,6;-3,6;82,2;84,6;80,1;18,1;11,5;49,4;37,4;61,3;30,7;39,6;23,9;21,9;23;20,9;7,2;9,4;5,5
EL54:Ipeiros;Greece;EL;Ipeiros;y;37,1;1,26;-2,1;-3,5;83,5;85,9;81,2;14;10,8;53,2;44,2;62,3;24,5;28,9;21,1;25,8;27;24,6;2,4;1,4;3,6
EL61:Thessalia;Greece;EL;Thessalia;y;52,4;1,32;-2;-3,4;81,7;84,4;79,1;15,1;10,5;53,3;43,9;62,9;26,9;32,9;22,1;26,1;28;24,1;7,9;6,5;9,3
EL62:Ionia Nisia;Greece;EL;Ionia Nisia;y;89,9;1,43;0;-2,9;81,7;83,9;79,5;18,4;11,6;61,1;52,6;69,6;19;24,4;14,2;19,5;21,7;17,2;5,5;3,2;8
EL63:Dytiki Ellada;Greece;EL;Dytiki Ellada;y;59,6;1,31;-3,9;-2,7;81,5;84,6;78,5;14,8;9,5;51,4;41,7;60,6;28,5;34,1;24,2;22,9;24,4;21,4;5,4;4,3;6,4
EL64:Sterea Ellada;Greece;EL;Sterea Ellada;y;35,9;1,24;1,3;-3,9;81,9;84,5;79,4;16,9;9,2;55,6;43,4;66,8;25,8;32,4;21,2;19;21,7;16,5;9,7;6,2;12,8
EL65:Peloponnisos;Greece;EL;Peloponnisos;y;37,7;1,33;1,3;-4,3;82;84,4;79,8;15,9;10,4;58,9;49,5;68,4;22,3;27,4;18,1;20,8;21,3;20,2;14,6;13,6;15,6
ES11:Galicia;Spain;ES;Galicia;y;93,4;1,07;-0,8;-3,8;83,4;86,6;80,1;22;13;61,5;57,5;65,5;19,3;20;18,7;35,2;38,1;32,1;17;11,9;21,9
ES12:Principado de Asturias;Spain;ES;Principado de Asturias;y;99,8;0,99;-2,7;-5,9;82,5;85,6;79,2;22;14,6;58,2;56;60,4;19,1;18,6;19,6;39,6;42;37,2;16,8;17,7;16
ES13:Cantabria;Spain;ES;Cantabria;y;111,4;1,15;-1,7;-2,3;83,1;86,3;79,9;22,6;13,8;62,8;57;68,5;17,6;19;16,5;38,1;40,1;36;10,3;7,8;12,6
ES21:País Vasco;Spain;ES;País Vasco;y;299,6;1,38;-0,6;-0,4;83,9;86,9;80,7;32,7;18,8;67;62,9;71,2;14,8;14,7;14,9;47,8;48,8;46,8;9,7;7,4;11,9
ES22:Comunidad Foral de Navarra;Spain;ES;Comunidad Foral de Navarra;y;61,5;1,44;-1,1;1,1;83,9;86,9;80,9;30,9;17,6;68,5;63,5;73,4;13,8;15,2;12,7;42,3;44,2;40,5;10,8;8,5;13,1
ES23:La Rioja;Spain;ES;La Rioja;y;62,4;1,35;-5,1;-0,2;84,2;87,5;81;27,5;14,7;68,5;61,8;75,2;15,4;16,9;14,1;39,3;41,8;36,8;21,5;10,8;32,4
ES24:Aragón;Spain;ES;Aragón;y;28;1,34;-2,1;-1,6;83,2;86,3;80,3;27,6;15,4;67,5;59,8;75;16,3;19,9;13,3;35,6;38,2;33;19,5;18,9;20
ES30:Comunidad de Madrid;Spain;ES;Comunidad de Madrid;y;801;1,35;-2,4;3,5;84,9;87,6;81,9;34,3;17,6;69,7;65,3;74,4;17,1;17,3;16,8;46,9;48,5;45,1;15,6;11,2;20
ES41:Castilla y León;Spain;ES;Castilla y León;y;26,5;1,17;-3,1;-4;84,1;87,2;81,2;23,5;14,1;63,7;56,5;70,5;18,3;21,1;16;34,7;39;30,6;16,7;11,9;21,2
ES42:Castilla-la Mancha;Spain;ES;Castilla-la Mancha;y;26,2;1,3;-6;0;83,7;86,5;81;19,7;11,8;57,7;48,6;66,3;26,3;31,3;22,5;27,5;29,4;25,7;20,8;17,7;23,7
ES43:Extremadura;Spain;ES;Extremadura;y;26,8;1,29;-2,9;-1,5;82,7;85,7;79,8;17,3;10,7;53,4;44,6;61,8;29,1;33,5;25,7;26,5;29,4;23,7;24,5;19,4;29,4
ES51:Cataluña;Spain;ES;Cataluña;y;232;1,39;-4;1,4;83,6;86,5;80,6;29,7;16,1;67,7;63;72,4;18,6;19,4;17,8;37,5;40,6;34,4;18,9;15,8;21,8
ES52:Comunidad Valenciana;Spain;ES;Comunidad Valenciana;y;213,8;1,31;-4;0,6;82,8;85,5;80,2;22;12,4;61,1;55,7;66,5;22,8;23,8;21,9;32,5;34,8;30,2;21,4;15,4;27,3
ES53:Illes Balears;Spain;ES;Illes Balears;y;224,8;1,24;5,6;2,5;83;85,7;80,2;26,2;14;68,9;65,4;72,4;17,3;17,3;17,3;27,2;30,7;23,9;26,7;21,6;31,5
ES61:Andalucía;Spain;ES;Andalucía;y;96,8;1,39;-0,6;1,9;82,1;84,9;79,2;18,5;11;52,6;45,9;59,3;31,5;34,5;29,1;28,3;30,3;26,3;24,9;20,8;28,9
ES62:Región de Murcia;Spain;ES;Región de Murcia;y;129,5;1,56;-2,7;4;82,8;85,3;80,3;20,5;11,4;58,2;49,1;66,8;24,6;28,4;21,7;27,9;28,8;26,9;23,6;16,4;30,5
ES63:Ciudad Autónoma de Ceuta (ES);Spain;ES;Ciudad Autónoma de Ceuta (ES);y;4457;1,99;-8;8,2;80,6;84;77,7;20,9;12,1;50,8;37,4;63,1;27,6;36,5;21,6;28,1;28,1;28;29,8;29,4;30,4
ES64:Ciudad Autónoma de Melilla (ES);Spain;ES;Ciudad Autónoma de Melilla (ES);y;6478,5;2,69;-5,2;13,5;80,7;83,5;77,9;18,7;10,9;48,4;37,1;59,2;34;40,1;29,6;28;25,1;30,7;24,1;13,3;34,4
ES70:Canarias (ES);Spain;ES;Canarias (ES);y;284,9;1,04;4,4;1;82,5;85,2;79,8;21,5;11,8;55,6;50,3;60,8;29,1;30,6;27,9;26,6;28,9;24,3;21,9;17,5;26,4
FI19:Länsi-Suomi;Finland;FI;Länsi-Suomi;y;23,6;1,79;1,8;0,3;81,4;84,3;78,4;27,2;15,5;72,1;70,8;73,3;9,8;9,4;10,2;40,9;48;34,1;9,7;8,4;11
FI1B:Helsinki-Uusimaa;Finland;FI;Helsinki-Uusimaa;y;175,3;1,55;7,2;4;81,8;84,3;79,1;39,6;18;77,1;75,9;78,3;8;7,5;8,6;51,3;57,2;45,3;8,9;7;11,1
FI1C:Etelä-Suomi;Finland;FI;Etelä-Suomi;y;36,9;1,66;1,3;-1,5;81,1;84;78,1;26,7;15,8;71,1;69,9;72,4;10;9,2;10,8;38,9;45,6;32,4;10,4;9,8;11,1
FI1D:Pohjois- ja Itä-Suomi;Finland;FI;Pohjois- ja Itä-Suomi;y;6,4;1,92;-0,3;0;80,7;83,9;77,6;25;15;69,1;68,4;69,8;10,4;10,1;10,7;36,7;44,7;29,1;8;6,8;9,1
FI20:Åland;Finland;FI;Åland;y;18,6;1,78;7,6;1,1;83;84,7;81,3;37,9;18,6;86,7;83,8;89,7;NA;NA;NA;29,9;31,8;28;13,4;12,5;14,1
FR10:Île de France;France;FR;Île de France;y;1002,7;2,04;-4,4;9,3;84,4;87,1;81,4;49;20,9;72,3;69,1;75,7;9,6;8,4;10,7;46,3;47,1;45,3;8,9;7,4;10,5
FR21:Champagne-Ardenne;France;FR;Champagne-Ardenne;y;52,3;1,93;-1,6;1,9;81,9;85,3;78,3;25,7;16,6;64,2;60,4;67,9;13;11,2;14,4;23,7;24,6;22,8;13,3;12;14,6
FR22:Picardie;France;FR;Picardie;y;99,6;2,05;-1,9;3,5;81,1;84,5;77,7;21,6;16,7;67,4;61;74;10,8;11,5;10,2;24,1;26,5;21,7;13,3;12,7;13,8
FR23:Haute-Normandie;France;FR;Haute-Normandie;y;150,5;2;-1,8;3,2;81,5;84,9;77,9;25,6;17,2;68,6;63,9;73,5;10,6;9,6;11,4;27,7;31,8;23,3;7,4;6,5;8,2
FR24:Centre (FR);France;FR;Centre (FR);y;65,9;2,03;0,7;1,7;82,9;86,3;79,4;24,3;17,7;68,5;65,4;71,7;10,7;10,4;10,9;28,9;32,6;25,1;7;4,3;9,3
FR25:Basse-Normandie;France;FR;Basse-Normandie;y;84,1;1,91;0;0,3;82,3;85,8;78,8;23,4;17,1;70,8;68,6;73,1;8,2;8,4;7,9;26,8;30,9;22,7;8,8;11,8;5,9
