region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
IS00:Ísland;Iceland;IS;Ísland;n;3,3;1,93;3,4;7,1;82,9;84,5;81,3;NA;NA;86,5;83,3;89,6;4;4,1;3,9;39;46,5;31,7;18,8;12,4;24,9
ITC1:Piemonte;Italy;IT;Piemonte;y;174,5;1,4;0,6;-3,3;83,2;85,5;80,7;27,6;18,3;68,1;60,7;75,5;10,2;10,5;10;16,6;18,6;14,5;12,6;8,4;16,6
ITC2:Valle d'Aosta/Vallée d'Aoste;Italy;IT;Valle d'Aosta/Vallée d'Aoste;y;39,4;1,54;-1;-1,3;82,9;85,7;79,9;36,5;18;70,8;65,7;75,9;8,9;8,1;9,5;15,5;18,5;12,5;16,3;12,2;20,3
ITC3:Liguria;Italy;IT;Liguria;y;293,1;1,33;0,8;-6,2;83,3;85,7;80,6;28,7;18,5;66,7;59,9;73,6;9,2;9,5;8,9;19,7;22,4;16,8;12;10,7;13,3
ITC4:Lombardia;Italy;IT;Lombardia;y;418,5;1,46;3,3;-0,4;83,9;86,2;81,3;34,7;19,7;69,8;61,2;78,4;7,9;8,7;7,2;19,3;21,5;17,1;13,1;10,3;15,7
ITF1:Abruzzo;Italy;IT;Abruzzo;y;123;1,29;1,1;-2,9;83,1;85,6;80,5;23,1;14,7;58,6;46,2;71,1;12,6;15,5;10,7;17;19,8;14,2;14,2;4,8;23,2
ITF2:Molise;Italy;IT;Molise;y;70,4;1,16;-0,1;-4,3;82,8;85,9;79,8;20,5;13,4;53,2;42,5;63,8;14,3;14,7;14,1;18;21;15;10,1;7,2;12,8
ITF3:Campania;Italy;IT;Campania;y;429,1;1,32;-1,3;-0,1;81,5;83,8;79;16,7;11,5;43,1;29,8;56,9;19,8;23;17,9;14,9;16,3;13,4;18,8;18,2;19,4
ITF4:Puglia;Italy;IT;Puglia;y;209,3;1,28;0,9;-0,9;83,2;85,4;80,8;17,2;12,2;47;33;61,4;19,7;21,8;18,4;13,3;15,1;11,5;16,7;12,7;20,5
ITF5:Basilicata;Italy;IT;Basilicata;y;57,3;1,15;0,1;-3,2;83,1;85,6;80,6;19;11,8;53,1;39,4;66,9;13,7;15,8;12,5;15,5;18,3;12,7;10,3;8,7;11,8
ITF6:Calabria;Italy;IT;Calabria;y;130;1,27;-0,6;-1,4;82,5;85;79,9;16,1;11,4;42,1;31;53,5;22,9;23,7;22,5;15,7;18,3;13,1;16,1;14,1;17,9
ITG1:Sicilia;Italy;IT;Sicilia;y;197,2;1,38;0,4;-0,9;82,2;84,3;79,9;17;11,9;43,4;30,5;56,7;21,4;22,7;20,7;13,2;14,5;11,8;24,3;19,6;28,8
ITG2:Sardegna;Italy;IT;Sardegna;y;69;1,1;2;-2,4;83,2;85,9;80,3;19,9;13,4;53,5;45,2;61,8;17,4;18,2;16,7;14,7;17,8;11,7;22,9;14,8;30,5
ITH1:Provincia Autonoma di Bolzano/Bozen;Italy;IT;Provincia Autonoma di Bolzano/Bozen;y;69,9;1,74;2,7;2,7;84;86,2;81,6;39,7;20,6;76,7;69,4;84;3,8;4,2;3,5;16,3;19,5;13,1;13,1;10;16
ITH2:Provincia Autonoma di Trento;Italy;IT;Provincia Autonoma di Trento;y;86,5;1,54;2;0,2;84,4;87;81,7;33,7;18,7;71,4;64,7;78,1;6,8;7,3;6,4;18,7;21,6;15,8;8,7;8,7;8,7
ITH3:Veneto;Italy;IT;Veneto;y;267,7;1,41;1,2;-1,1;83,8;86,3;81,1;29,8;17,3;68,3;57,9;78,7;7,1;8,8;5,8;15,9;18,8;13,1;8,1;6,6;9,4
ITH4:Friuli-Venezia Giulia;Italy;IT;Friuli-Venezia Giulia;y;156,2;1,38;1,9;-3,7;83,4;85,9;80,7;27,8;17,9;68,1;58,8;77,3;8;9,7;6,7;17,6;19,6;15,7;6,9;4,5;9,3
ITH5:Emilia-Romagna;Italy;IT;Emilia-Romagna;y;198,1;1,42;3,4;-2,5;83,7;85,8;81,3;32,2;19,4;71,2;63,6;79;7,7;9,1;6,6;20,3;23,1;17,5;13,3;10;16,4
ITI1:Toscana;Italy;IT;Toscana;y;163,2;1,35;3,9;-3,3;83,8;86,1;81,4;28,7;17,4;69,2;62,4;76,3;9,2;9,7;8,7;19,3;21,4;17,2;13,4;10;16,6
ITI2:Umbria;Italy;IT;Umbria;y;105,8;1,32;1;-3,2;84;86,4;81,5;24;16,5;67,6;59,1;76,5;10,4;12,2;9;19,8;22,6;17;8,1;8,1;8,1
ITI3:Marche;Italy;IT;Marche;y;165,1;1,35;1,4;-2,9;84;86,4;81,4;25,3;16,5;66,6;57,8;75,6;9,9;11,1;9;18,5;22;15;10;7,9;11,9
ITI4:Lazio;Italy;IT;Lazio;y;341,3;1,35;4,5;-0,8;83,1;85,4;80,5;31,4;16,5;63,2;54,5;72,2;11,8;12,3;11,5;23,3;25,6;20,8;11,3;9,1;13,5
LI00:Liechtenstein;Liechtenstein;LI;Liechtenstein;n;232,8;1,59;3,6;2,8;82,1;83,2;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LT00:Lietuva;Lithuania;LT;Lietuva;y;46,8;1,63;-4,2;-3,4;74,7;80,1;69,2;20,6;11,4;73,3;72,2;74,6;9,1;8,2;10,1;38,7;45,3;31,5;5,5;4;6,9
LU00:Luxembourg;Luxembourg;LU;Luxembourg;y;215,1;1,5;19,9;4;82,3;85,2;79,4;73;NA;70,9;65;76,7;6,7;7,3;6,1;41,1;41,1;41,1;9,3;8,1;10,5
LV00:Latvija;Latvia;LV;Latvija;y;32;1,65;-4,3;-3,4;74,5;79,4;69,1;17,5;8,2;72,5;70,5;74,6;9,9;8,6;11,1;31,6;40,1;22,3;9,9;6,2;13,4
MK00:Poranesna jugoslovenska Republika Makedonija;Former Yugoslav Republic of Macedonia;MK;Poranesna jugoslovenska Republika Makedonija;n;83;1,52;-0,2;1,9;75,5;77,5;73,5;10,1;NA;51,9;42,1;61,5;26,1;25,1;26,7;18,8;20,4;17,3;11,4;12,9;10
MT00:Malta;Malta;MT;Malta;y;1352,4;1,42;7,1;2,2;82,1;84,2;79,8;23,6;NA;67,8;53,6;81,4;5,4;5,2;5,5;19,6;20,2;18,9;19,8;16,6;22,9
NL11:Groningen;Netherlands;NL;Groningen;y;250,9;1,54;1,9;0,2;80,7;82,5;78,8;44,8;14,1;71,9;68;75,7;9,1;7,9;10,1;33,7;34,5;32,9;5,8;5,1;6,5
NL12:Friesland (NL);Netherlands;NL;Friesland (NL);y;194,4;1,86;-0,9;0,8;81,6;83,7;79,5;25,6;14,4;76;71,2;80,7;7,9;7,6;8,2;25,4;27,4;23,6;8,8;5,5;12,2
NL13:Drenthe;Netherlands;NL;Drenthe;y;185,4;1,85;-0,2;-0,6;81,9;83,7;79,9;25,8;14,3;75,5;70,2;80,9;7,5;7,5;7,5;28,6;28,8;28,5;7,4;4,4;10,1
NL21:Overijssel;Netherlands;NL;Overijssel;y;343,1;1,84;-1,3;2,2;81,6;83,3;79,8;29,3;14,4;77,5;72,8;82;6,9;7,1;6,7;31,4;30,9;32;6,9;5,4;8,3
NL22:Gelderland;Netherlands;NL;Gelderland;y;407,2;1,76;2;1,4;81,9;83,6;80,1;30,1;15,5;76,9;71,1;82,7;6,3;6,7;5,8;34;34,2;33,8;7,9;7,3;8,5
NL23:Flevoland;Netherlands;NL;Flevoland;y;283,7;1,89;-2,2;7;82,3;84;80,6;27,4;15,1;75,1;67,8;82,6;7,9;9,2;6,7;30;27,9;32,2;13,5;11,1;15,6
NL31:Utrecht;Netherlands;NL;Utrecht;y;910,7;1,76;3,3;4,6;82,2;83,6;80,6;42,4;16,2;78,9;74,3;83,7;6,4;6,9;5,9;46,8;47,7;45,9;7,4;6,3;8,6
NL32:Noord-Holland;Netherlands;NL;Noord-Holland;y;1032,9;1,62;4,4;3;81,8;83,4;80,2;44,3;16,6;77,9;73;82,9;6,2;6,5;6;41,6;42;41,3;7,2;4,7;9,6
NL33:Zuid-Holland;Netherlands;NL;Zuid-Holland;y;1279,3;1,74;3;3,4;82;83,6;80,2;36,1;15,7;74,5;68,3;80,6;7,8;8,6;7,1;36,1;34,9;37,4;8,2;6;10,3
NL34:Zeeland;Netherlands;NL;Zeeland;y;213,4;1,89;0;0,3;82,8;85;80,5;27,4;15,8;78,9;73,3;84,4;5,3;5,3;5,4;25,1;24,7;25,5;15,1;18,4;12,1
NL41:Noord-Brabant;Netherlands;NL;Noord-Brabant;y;505,6;1,7;2,4;1,4;81,7;83,4;79,9;36,9;15,3;77,5;71,3;83,6;6,5;7,2;6;33,2;32,1;34,2;9,1;6,9;11,3
NL42:Limburg (NL);Netherlands;NL;Limburg (NL);y;520,9;1,51;0;-1,9;81,6;83,2;79,8;30;14,8;73,6;67,7;79,5;6,3;6,3;6,2;29,4;27,6;31,1;8,9;7,4;10,2
NO01:Oslo og Akershus;Norge;NO;Oslo og Akershus;y;244;1,64;12,1;6,6;82,7;84,6;80,6;NA;20,7;80,8;78,9;82,5;4,7;4,6;4,7;53,5;57,3;49,8;6,6;5,2;8
NO02:Hedmark og Oppland;Norge;NO;Hedmark og Oppland;n;7,7;1,74;6,1;-1,5;81,2;83,4;78,9;NA;18,2;78,5;75,7;81,2;4,5;4,1;4,9;33,8;39,4;28,5;12,4;8,2;15,5
NO03:Sør-Østlandet;Norge;NO;Sør-Østlandet;n;28,9;1,78;6,1;1,4;81,7;83,4;79,9;NA;18,5;76,3;73,2;79,3;4,5;4,2;4,7;37,2;40,8;33,6;11,5;8,7;14,8
NO04:Agder og Rogaland;Norge;NO;Agder og Rogaland;n;32,1;1,87;8,1;5,6;82,5;84,5;80,4;NA;19,6;78,8;76,4;81,1;4,6;4,2;5;39,9;42,6;37,3;9,4;8,7;10,1
NO05:Vestlandet;Norge;NO;Vestlandet;n;18,8;1,81;6,4;3,6;82,8;85,1;80,6;NA;19,2;80,4;77,5;83,2;3,9;3,7;4,1;43,2;47,8;39;9,1;7,4;10,7
NO06:Trøndelag;Norge;NO;Trøndelag;n;11,5;1,79;6,9;3,6;82,3;84,2;80,3;NA;18,8;79,7;78,2;81,1;3,7;3,5;3,8;44;50,5;37,7;9,8;5,4;14,3
NO07:Nord-Norge;Norge;NO;Nord-Norge;n;4,5;1,71;4,3;1,5;81,7;84,1;79,4;NA;18,9;77,8;76,2;79,3;3,4;2,4;4,4;38,7;45,1;32,7;18,2;15,7;20,2
PL11:Lódzkie;Poland;PL;Lódzkie;y;137,8;1,28;-0,8;-2,8;76,3;80,9;71,6;17,4;11;69,3;63,4;75,3;7,7;7,7;7,7;26,8;31,8;21,7;5,3;2,6;7,7
PL12:Mazowieckie;Poland;PL;Mazowieckie;y;150,9;1,4;2,6;0,7;78,2;82,1;74,1;29,8;13,1;73,6;67,8;79,4;6,4;6,2;6,7;37,7;43,3;32;4,1;1,5;6,5
PL21:Malopolskie;Poland;PL;Malopolskie;y;221,7;1,33;1,1;1,4;79,1;82,7;75,3;16,6;10,2;67,6;60,7;74,6;7,1;7,4;6,9;28,9;34,1;23,6;3,4;1,9;4,9
PL22:Slaskie;Poland;PL;Slaskie;y;373,9;1,29;-1,6;-1,1;77;80,6;73,3;19,3;12,3;64,3;57,8;71;7,2;7,4;7;25,4;29,6;20,9;5,3;4,3;6,2
PL31:Lubelskie;Poland;PL;Lubelskie;y;85,4;1,27;-2,7;-1,1;77,8;82,4;73,2;13;9,4;66,9;61,4;72,2;9,3;9,5;9,2;27,1;32,8;21,6;3,9;1,1;6,5
PL32:Podkarpackie;Poland;PL;Podkarpackie;y;118,1;1,26;-0,4;0,8;79;83;75;13,2;8,6;63,1;55,7;70,4;11,6;12,4;11;25,3;29,9;20,7;3,2;1,3;5
PL33:Swietokrzyskie;Poland;PL;Swietokrzyskie;y;107,6;1,21;-1,8;-2,3;77,9;82,2;73,6;13,5;9,4;65,9;59,8;71,6;10,1;9,8;10,2;25,2;30,8;19,8;3,8;1,9;5,4
PL34:Podlaskie;Poland;PL;Podlaskie;y;58,5;1,29;-1,9;-0,7;78,4;83,1;73,9;13,4;9,2;69,8;64,1;75,4;7;6,8;7,1;28,1;34,1;22,1;3,5;2,5;4,4
PL41:Wielkopolskie;Poland;PL;Wielkopolskie;y;117,2;1,39;0,1;1,7;77,8;81,5;74;20;11,2;69,6;60,9;78,4;5,8;6,7;5,1;25,7;30,5;20,8;5,7;2,4;8,8
PL42:Zachodniopomorskie;Poland;PL;Zachodniopomorskie;y;77,9;1,27;-1,3;-0,4;77,6;81,4;73,6;15,6;10,5;64,1;56,9;71,8;7,5;7,5;7,4;24,5;28,5;20,4;9,7;6,1;13,4
PL43:Lubuskie;Poland;PL;Lubuskie;y;73,4;1,3;-1,3;0,2;77,4;81,3;73,3;15,6;9,7;66,9;60,3;73,4;6,4;6,6;6,3;22,4;26,3;18,5;8,4;6,2;10,8
PL51:Dolnoslaskie;Poland;PL;Dolnoslaskie;y;145,1;1,26;0,5;-1;77,4;81,5;73,1;20,8;11,3;67,7;60,3;75,3;7;7,3;6,8;27,2;32;22,3;8,2;8,1;8,3
PL52:Opolskie;Poland;PL;Opolskie;y;103,3;1,23;-2,2;-1,3;78,1;81,6;74,4;15;9,5;67,7;59,8;76;6,5;7,3;5,9;24,8;28,9;20,5;4,6;3,6;5,7
PL61:Kujawsko-Pomorskie;Poland;PL;Kujawsko-Pomorskie;y;118,2;1,31;-1,2;0;77,5;81,4;73,4;15,1;9,6;65,7;57,6;73,9;7,9;8,9;7,2;21,2;25,1;17,3;6,3;5,1;7,6
PL62:Warminsko-Mazurskie;Poland;PL;Warminsko-Mazurskie;y;62,3;1,32;-2,5;0,6;77,4;81,7;73;13,3;9,4;61,8;54,3;69,3;9,5;10,5;8,7;22,6;26,9;18,2;10,2;6,6;13,2
PL63:Pomorskie;Poland;PL;Pomorskie;y;129,1;1,43;1;2;78,2;82;74,4;17,7;10,6;68,6;60,5;76,6;6,6;6,2;6,9;28,1;32,6;23,5;5,6;2,7;8,1
PT11:Norte;Portugal;PT;Norte;y;170,7;1,09;-4,4;-1,7;81,7;84,8;78,4;17,8;10,8;66,5;62;71,3;13,7;14,3;13,1;18,7;22,1;14,9;14,3;11;17,6
PT15:Algarve;Portugal;PT;Algarve;y;88,4;1,35;0,1;-2,1;80,9;84,9;77,1;21,3;13;70,7;69;72,5;12,5;11,6;13,4;19,7;24,6;14,4;15,9;11,8;19,9
PT16:Centro (PT);Portugal;PT;Centro (PT);y;80,6;1,12;-2,7;-4,9;81,5;84,5;78,5;18,5;11,7;72,3;68,8;76,1;9,2;9,8;8,7;21,8;25,8;17,5;12,5;8,1;16,9
PT17:Área Metropolitana de Lisboa;Portugal;PT;Área Metropolitana de Lisboa;y;931,5;1,5;0;0,6;81,7;84,8;78,2;29,3;15,8;70,9;69,1;73;13,1;13;13,1;32,5;36,9;27,6;10,7;11,1;10,3
PT18:Alentejo;Portugal;PT;Alentejo;y;23,4;1,22;-7;-6,5;80,8;83,7;77,8;19,3;11,7;68,5;65,6;71,3;13,3;14,4;12,3;18;23;13;12,5;10,9;14,1
PT20:Região Autónoma dos Açores (PT);Portugal;PT;Região Autónoma dos Açores (PT);y;106,3;1,27;-4,4;0;77,5;81,4;73,7;19,4;12,6;65,2;61,1;69,3;12,8;10,8;14,4;14,3;17,7;10,9;28,8;21,3;36
PT30:Região Autónoma da Madeira (PT);Portugal;PT;Região Autónoma da Madeira (PT);y;324,2;0,95;-6,3;-3,8;77,4;81,1;73,2;20,2;12,4;64,6;63;66,3;14,7;14;15,5;17,3;21,6;12,6;23,6;21;26,1
RO11:Nord-Vest;Romania;RO;Nord-Vest;y;76,8;1,46;0,2;-2;74,9;78,5;71,4;13,1;8,2;68,3;59,6;76,8;4,6;4,5;4,8;17,4;17,9;16,9;16,9;17,3;16,4
RO12:Centru;Romania;RO;Centru;y;69,7;1,66;-1;-1,2;75,5;79;72,2;14,2;8,6;61,2;51,5;70,8;7,4;6,9;7,7;17,8;18,6;16,9;24,2;22,7;25,5
RO21:Nord-Est;Romania;RO;Nord-Est;y;90,6;1,83;0,8;-1,9;74,4;78,7;70,5;9,5;6,9;75,7;69;82;3,6;3,3;3,9;11,6;12,2;10,9;25,3;23,6;26,8
RO22:Sud-Est;Romania;RO;Sud-Est;y;80,2;1,63;-2,6;-4,1;74,3;78,5;70,3;13,6;8;62;49,9;73,7;9;8,2;9,6;12,9;13,7;12;24,9;25,5;24,4
RO31:Sud - Muntenia;Romania;RO;Sud - Muntenia;y;91,8;1,49;-2,4;-5,3;75;78,8;71,4;11,9;7,5;64,3;55;73,2;10,3;9,3;11;12,8;13,3;12,4;18,7;18,7;18,7
RO32:Bucuresti - Ilfov;Romania;RO;Bucuresti - Ilfov;y;1296,8;1,19;1,3;-0,7;76,8;80;73,2;35,6;14,7;69,7;62,9;77,1;5,3;4,2;6,2;33,6;33,8;33,3;10,8;9,9;11,6
RO41:Sud-Vest Oltenia;Romania;RO;Sud-Vest Oltenia;y;71,1;1,44;-2,9;-5,8;74,9;78,4;71,6;11,2;7,4;60,5;53;67,7;10,1;6,7;12,5;16,7;17,7;15,7;16,2;17,5;15,1
RO42:Vest;Romania;RO;Vest;y;57,4;1,35;0,4;-3,8;74,7;77,9;71,4;15,8;10;62;51,2;72,8;5,4;5;5,6;16,1;16,5;15,7;8,5;7,1;9,9
SE11:Stockholm;Sweden;SE;Stockholm;y;334,1;1,84;9,7;6,4;82,7;84,4;80,9;47,2;19,7;82,5;80,3;84,7;7;7,3;6,8;48,7;53;44,2;8,1;8;8,2
SE12:Östra Mellansverige;Sweden;SE;Östra Mellansverige;y;42;1,88;7,9;2,2;82,5;84,2;80,7;29;16;78,6;75,9;81,3;7,9;7,8;8,1;36,8;44,7;29,1;6,6;6,2;7
SE21:Småland med öarna;Sweden;SE;Småland med öarna;y;24,8;1,99;7,3;1;82,7;84,7;80,7;28,5;15,7;82,4;80,8;83,9;6;5,7;6,1;32,9;41,8;24,8;7,3;5,9;8,4
SE22:Sydsverige;Sweden;SE;Sydsverige;y;103,2;1,88;8,6;2,8;82,2;84,2;80,2;28,8;15,9;78,3;76,4;80,1;9,5;9,1;9,8;40,9;46,8;35,1;6,5;5,6;7,3
SE23:Västsverige;Sweden;SE;Västsverige;y;66,1;1,88;8;2,8;82,4;84,4;80,5;32,5;16,6;81,6;79,3;83,8;6,6;6,6;6,6;39,2;46,5;32,2;7,4;6,7;7,9
SE31:Norra Mellansverige;Sweden;SE;Norra Mellansverige;y;13,1;1,92;6,3;-0,9;81,7;83,5;79,8;27,2;15,2;78,2;76,7;79,7;7,9;7;8,6;30,6;39;22,7;7,1;6,1;8
SE32:Mellersta Norrland;Sweden;SE;Mellersta Norrland;y;5,2;1,9;5,1;-1,8;81,1;82,9;79,4;29,4;15,5;80,1;77,4;82,7;7,1;7,2;7;32;41,7;23;7,2;4,6;9,4
SE33:Övre Norrland;Sweden;SE;Övre Norrland;y;3,4;1,79;3,8;-0,3;81,5;83,6;79,6;31,3;15,7;79,4;78,4;80,2;7,2;6,4;7,8;37,3;46,9;28,6;4,6;4,6;4,7
SI03:Vzhodna Slovenija;Slovenia;SI;Vzhodna Slovenija;y;88,7;1,59;-1,1;0;80,3;83,4;77,1;18,8;11,5;67,4;62,5;71,9;10,3;11,9;9;26;31,4;21,1;5,5;4,4;6,4
SI04:Zahodna Slovenija;Slovenia;SI;Zahodna Slovenija;y;123,9;1,58;0,7;2,4;82,4;85;79,6;27;12,4;71,1;67,1;75;7,5;8;7;35;42,7;27,6;4,4;2,5;6,5
SK01:Bratislavský kraj;Slovakia;SK;Bratislavský kraj;y;302,9;1,48;7,7;3,3;78,7;81,5;75,6;51,2;17,3;75,2;69,5;81,3;5,7;6,2;5,3;37,5;40;34,8;3,3;4,6;2,2
SK02:Západné Slovensko;Slovakia;SK;Západné Slovensko;y;122,4;1,22;0,2;-1,2;76,9;80,5;73,3;19,8;11;69,3;61,7;76,8;9,7;11,4;8,3;17,9;20,1;15,8;3,6;3,7;3,4
SK03:Stredné Slovensko;Slovakia;SK;Stredné Slovensko;y;82,8;1,29;-1;-0,1;76,8;80,6;72,8;16,7;10,9;67,2;60,2;74,1;12,8;13,9;11,9;19,4;22,3;16,6;7,7;6,7;8,8
SK04:Východné Slovensko;Slovakia;SK;Východné Slovensko;y;102,7;1,49;-1,3;2,5;76,6;80,1;73;14,6;9,5;63,1;54,8;71,1;15;17;13,5;19,7;22,9;16,5;10,4;10,5;10,2
TR10:Istanbul;Turkey;TR;Istanbul;n;2746,1;1,87;2,4;12,8;78,5;81,3;75,5;NA;NA;54,1;31,8;75,8;12,8;17;11;20,8;19,6;22;32,6;32,2;32,9
TR21:Tekirdag, Edirne, Kirklareli;Turkey;TR;Tekirdag, Edirne, Kirklareli;n;87,4;1,7;16,6;6,1;77,3;80,4;74,4;NA;NA;61,6;40,2;81,3;7,3;11,1;5,4;13,5;12,3;14,7;28,7;32,2;25,8
TR22:Balikesir, Çanakkale;Turkey;TR;Balikesir, Çanakkale;n;69,5;1,66;18,3;3;77,8;80,8;74,9;NA;NA;55,6;36,6;74,4;5,3;6,6;4,7;17,3;14,1;20,6;27,1;29,1;25,4
TR31:Izmir;Turkey;TR;Izmir;n;340,2;1,71;4,9;7,8;78,7;81,8;75,7;NA;NA;53,6;34,2;73,4;14,9;20,4;12;20,5;19,2;21,8;26,8;26,3;27,3
TR32:Aydin, Denizli, Mugla;Turkey;TR;Aydin, Denizli, Mugla;n;89;1,82;14,7;7,5;79,5;82,4;76,7;NA;NA;59,8;43,3;76,2;6,8;8,1;6,1;15,4;14,7;16,1;33,9;32;35,3
TR33:Manisa, Afyonkarahisar, Kütahya, Usak;Turkey;TR;Manisa, Afyonkarahisar, Kütahya, Usak;n;66,9;1,87;-3,8;7,2;77,1;79,8;74,4;NA;NA;60,4;40,3;80,6;4,1;4,5;3,8;12,6;9,3;16;34,2;38,9;29
TR41:Bursa, Eskisehir, Bilecik;Turkey;TR;Bursa, Eskisehir, Bilecik;n;132,3;1,81;7,1;8,8;77,6;80,1;75,1;NA;NA;54,2;32,2;76,3;7,7;10,3;6,5;17;14,4;19,5;28,7;27,9;29,5
TR42:Kocaeli, Sakarya, Düzce, Bolu, Yalova;Turkey;TR;Kocaeli, Sakarya, Düzce, Bolu, Yalova;n;172,7;1,94;10,5;10,7;78;80,7;75,5;NA;NA;57,2;35,3;79,1;10,1;13,6;8,4;15,9;13,5;18,4;27,6;26,5;28,7
TR51:Ankara;Turkey;TR;Ankara;n;207,9;1,76;10;10,5;79,4;82;76,8;NA;NA;54,2;31,1;77,4;11,1;17,3;8,3;27,4;24,3;30,5;25;23,5;26,6
TR52:Konya, Karaman;Turkey;TR;Konya, Karaman;n;48,9;2,21;1,6;12,1;78,1;80,6;75,6;NA;NA;55,4;31,1;79,9;6,5;9,3;5,4;13,9;10,3;17,6;36,9;36,9;36,9
TR61:Antalya, Isparta, Burdur;Turkey;TR;Antalya, Isparta, Burdur;n;80;1,9;12,5;10,1;79,3;81,9;76,7;NA;NA;58,9;39,3;78,3;9,4;12,7;7,7;18,2;16,2;20,1;27,7;24,3;31,1
TR62:Adana, Mersin;Turkey;TR;Adana, Mersin;n;131,8;2,27;-3,3;13;77,9;80,7;75,1;NA;NA;52,6;30;75,4;9,8;13,5;8,2;15,2;12,7;17,7;39,9;40,6;39,3
TR63:Hatay, Kahramanmaras, Osmaniye;Turkey;TR;Hatay, Kahramanmaras, Osmaniye;n;132,9;2,72;-4,1;16,3;78,3;80,6;76,1;NA;NA;43,4;19,1;69,3;16,3;22,1;14,4;11,3;8;14,6;40,6;41,8;39,2
TR71:Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;Turkey;TR;Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;n;48,4;2,08;-11;9,7;77,7;80,4;75;NA;NA;54,8;32,7;76,8;9,9;13,4;8,3;13,2;10,3;16,1;38,7;37,5;39,9
TR72:Kayseri, Sivas, Yozgat;Turkey;TR;Kayseri, Sivas, Yozgat;n;39,7;2,12;-4,5;10,7;77,9;80,5;75,4;NA;NA;52,4;29;76;9,7;12,3;8,6;14,3;10;18,6;35,4;36,4;34,2
TR81:Zonguldak, Karabük, Bartin;Turkey;TR;Zonguldak, Karabük, Bartin;n;107,5;1,59;-6,2;4,8;78;80,8;75,2;NA;NA;56;37,6;74,9;6,9;8,9;5,8;10,3;8,6;12,1;30;34,7;25,1
TR82:Kastamonu, Çankiri, Sinop;Turkey;TR;Kastamonu, Çankiri, Sinop;n;28,8;1,7;-10,6;1,9;78;80,9;75,2;NA;NA;61,5;46,1;77,4;6,8;8,2;5,9;12,1;9,1;15,3;34;39,6;28,4
TR83:Samsun, Tokat, Çorum, Amasya;Turkey;TR;Samsun, Tokat, Çorum, Amasya;n;72,4;1,85;-5,6;6,5;77,9;80,7;75,2;NA;NA;56,4;38,3;75,1;6,6;7,6;6;13,1;10,5;15,9;31,5;32,2;30,7
TR90:Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane;Turkey;TR;Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane;n;72,8;1,79;-0,8;5,9;79,7;83,3;76,1;NA;NA;62,1;46,9;76,8;4,8;4,5;5;14,8;11,9;17,8;26;24,5;27,3
TRA1:Erzurum, Erzincan, Bayburt;Turkey;TR;Erzurum, Erzincan, Bayburt;n;26,2;2,39;-8,6;13,5;78;80,5;75,5;NA;NA;57,3;37,6;77,1;6;2,8;7,6;11,1;7,1;15,2;40,6;48,1;32,3
TRA2:Agri, Kars, Igdir, Ardahan;Turkey;TR;Agri, Kars, Igdir, Ardahan;n;38;3,34;-26,9;21,2;76,7;79,2;74,4;NA;NA;59,8;42,5;76,3;3,9;3,3;4,2;10,2;6,9;13,3;56,8;60,1;53,5
TRB1:Malatya, Elazig, Bingöl, Tunceli;Turkey;TR;Malatya, Elazig, Bingöl, Tunceli;n;46,9;2,1;-6,3;11,7;78,8;81,4;76,2;NA;NA;51,5;29,7;73,3;7,9;9,1;7,4;16,1;11,1;21,2;26,3;30,1;22,7
TRB2:Van, Mus, Bitlis, Hakkari;Turkey;TR;Van, Mus, Bitlis, Hakkari;n;50,6;3,46;-15,5;24,2;76,9;79,6;74,2;NA;NA;49,6;30,2;68,4;9,7;3,6;12,1;7,1;3,9;10,2;61,8;69,3;53,6
TRC1:Gaziantep, Adiyaman, Kilis;Turkey;TR;Gaziantep, Adiyaman, Kilis;n;169,7;3,14;-3,5;21,2;77,4;80,1;74,7;NA;NA;45,9;19,7;73,3;9,7;10,4;9,5;13,3;10,5;16,2;40;37,2;42,9
TRC2:Sanliurfa, Diyarbakir;Turkey;TR;Sanliurfa, Diyarbakir;n;101,9;3,91;-6,9;27,6;77,9;81,1;74,7;NA;NA;41;18,8;64,7;17,4;11,6;19,2;8,1;4,7;11,6;62;68,1;55,1
TRC3:Mardin, Batman, Sirnak, Siirt;Turkey;TR;Mardin, Batman, Sirnak, Siirt;n;81,8;3,67;-7,6;25;NA;NA;NA;NA;NA;35,4;11,2;61,8;24,4;25,2;24,2;9,4;5,1;14;53,4;61,1;45
UKC1:Tees Valley and Durham;United Kingdom;UK;Tees Valley and Durham;y;392,8;1,82;3;1,1;79,6;81,5;77,7;20,5;14,2;71,1;67,1;75,3;8,5;8,2;8,7;34,5;36,3;32,7;14,2;13,7;14,7
UKC2:Northumberland and Tyne and Wear;United Kingdom;UK;Northumberland and Tyne and Wear;y;258,2;1,64;4,1;0,2;79,9;82;77,8;23;14,4;73,5;70,4;76,6;7,7;6,7;8,6;35,3;37,5;33;10,4;9,9;10,9
